Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]"
Andorra,"AND","Population, total","SP.POP.TOTL","13411","14375","15370","16412","17469","18549","19647","20758","21890","23058","24276","25559","26892","28232","29520","30705","31777","32771","33737","34818","36067","37500","39114","40867","42706","44600","46517","48455","50434","52448","54509","56671","58888","60971","62677","63850","64360","64327","64142","64370","65390","67341","70049","73182","76244","78867","80993","82684","83862","84463","84449","83747","82427","80774","79213","78011","77297","77001","77006"
Andorra,"AND","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Andorra,"AND","Population, female","SP.POP.TOTL.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Andorra,"AND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,"AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","710.981648140027","642.383857952257","619.96135753111","623.440584831564","637.715230700475","758.237576171151","685.270085316704","756.261853027412","792.303120218644","890.554136459008","947.704182085371","865.69272959239","656.361755960006","441.200673252825","328.673294707808","397.179450769472","522.643807265256","514.295223223424","423.59366023208","387.784316047502","556.836318086553","527.333528536691","872.494491592841","982.960899291112","1255.56404471491","1902.42234554625","2599.56646397608","3121.99563726236","4080.94140992346","3122.78076649385","3587.88379824396","4615.46802807906","5100.09580809767","5254.88233799616","5408.41049555432","4166.97968386501","3506.07288506966","4095.81294155857","3432.38573600893"
Angola,"AGO","Population, total","SP.POP.TOTL","5454933","5531472","5608539","5679458","5735044","5770570","5781214","5774243","5771652","5803254","5890365","6040777","6248552","6496962","6761380","7024000","7279509","7533735","7790707","8058067","8341289","8640446","8952950","9278096","9614754","9961997","10320111","10689250","11068050","11454777","11848386","12248901","12657366","13075049","13503747","13945206","14400719","14871570","15359601","15866869","16395473","16945753","17519417","18121479","18758145","19433602","20149901","20905363","21695634","22514281","23356246","24220661","25107931","26015780","26941779","27884381","28842484","29816748","30809762"
Angola,"AGO","Population, male","SP.POP.TOTL.MA.IN","2651096","2688787","2726776","2761807","2789406","2807267","2813037","2810253","2809631","2825722","2868926","2943046","3045214","3167302","3297335","3426649","3552651","3678154","3805019","3936833","4076172","4223012","4376112","4535220","4699931","4869884","5045276","5226137","5411677","5600874","5793100","5988293","6187062","6390186","6598767","6813825","7036066","7266079","7504703","7752808","8011337","8280467","8561093","8855741","9167536","9498611","9849953","10220772","10609071","11011871","11426812","11853524","12292135","12741304","13199544","13665853","14139632","14621228","15111956"
Angola,"AGO","Population, female","SP.POP.TOTL.FE.IN","2803837","2842685","2881763","2917651","2945638","2963303","2968177","2963990","2962021","2977532","3021439","3097731","3203338","3329660","3464045","3597351","3726858","3855581","3985688","4121234","4265117","4417434","4576838","4742876","4914823","5092113","5274835","5463113","5656373","5853903","6055286","6260608","6470304","6684863","6904980","7131381","7364653","7605491","7854898","8114061","8384136","8665286","8958324","9265738","9590609","9934991","10299948","10684591","11086563","11502410","11929434","12367137","12815796","13274476","13742235","14218528","14702852","15195520","15697806"
Angola,"AGO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","33.251","33.573","33.914","34.272","34.645","35.031","35.426","35.828","36.234","36.64","37.047","37.46","37.878","38.297","38.712","39.11","39.478","39.81","40.099","40.344","40.546","40.71","40.848","40.97","41.085","41.193","41.292","41.382","41.471","41.572","41.696","41.855","42.06","42.329","42.677","43.125","43.695","44.385","45.192","46.105","47.113","48.2","49.341","50.508","51.676","52.833","53.974","55.096","56.189","57.231","58.192","59.042","59.77","60.373","60.858","61.241","61.547","61.809",""
Antigua and Barbuda,"ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","1246.75032905458","1416.5861996499","1760.717634441","2124.48115520353","2392.26107515282","2660.60115717135","2947.93553600212","3372.49289962607","3899.32872843063","4703.17940118439","5463.24127633961","6453.47700017448","7076.42221194876","7348.21294282384","7601.84849106528","7744.27491660046","8136.16883983425","8770.75163074508","8406.59299171022","9030.97529861385","9492.03825604026","9940.19163925206","10260.5850219076","10920.8426880891","10370.6711296076","10404.4362134662","10789.950959787","11446.6384702767","12547.6130399103","13989.7156660433","15607.0898690088","16024.3455512142","14113.0772600466","13092.0738182632","12795.5690668765","13399.2379486965","13035.0936407801","13780.7823704952","14526.5880847823","15494.3054718052","15824.6678131824","16864.3833609901"
Antigua and Barbuda,"ATG","Population, total","SP.POP.TOTL","54131","55001","55841","56702","57641","58698","59915","61241","62521","63550","64177","64357","64133","63650","63120","62675","62367","62159","62036","61952","61865","61800","61779","61787","61786","61786","61754","61717","61771","62008","62528","63367","64471","65777","67204","68670","70173","71704","73224","74674","76016","77212","78295","79300","80336","81465","82704","84026","85397","86746","88028","89253","90409","91516","92562","93566","94527","95426","96286"
Antigua and Barbuda,"ATG","Population, male","SP.POP.TOTL.MA.IN","25497","25834","26266","26765","27312","27902","28533","29206","29841","30352","30661","30755","30646","30414","30191","30037","29985","30011","30086","30158","30187","30180","30152","30111","30054","30006","29946","29881","29873","29971","30235","30692","31312","32022","32734","33376","33922","34395","34839","35302","35823","36404","37041","37704","38376","39049","39697","40345","40980","41595","42191","42775","43338","43886","44397","44889","45365","45805","46228"
